FREQ	CALLSIGN	STATE	CITY	PWR-D	PWR-N	PWR-C	LATITUDE	LONGITUDE	STATUS
540	WASG	AL	DAPHNE	2500	19		30.7456	-88.0944	
540	KRXA	CA	CARMEL VALLEY	10000	500		36.6600	-121.5414	
540	KVIP	CA	REDDING	2500	14		40.6236	-122.2803	
540	WFLF	FL	PINE HILLS	50000	46000		28.4814	-81.6619	
540	WDAK	GA	COLUMBUS	4000	38		32.4328	-84.9506	
540	KWMT	IA	FORT DODGE	5000	170		42.4958	-94.2092	
540	KMLB	LA	MONROE	4000	26		32.6219	-92.0642	
540	WGOP	MD	POCOMOKE CITY	500	243		38.0531	-75.5697	
540	WXYG	MN	SAUK RAPIDS	850	250		45.6050	-94.1392	
540	WRGC	NC	SYLVA	5000	190		35.3919	-83.2489	
540	WETC	NC	WENDELL-ZEBULON	10000	4400		35.8692	-78.4322	
540	KNMX	NM	LAS VEGAS	5000	20		35.5736	-105.1714	
540	WBWD	NY	ISLIP	10000	220		40.7517	-73.2139	
540	WWCS	PA	CANONSBURG	5000			40.2894	-80.1853	
540	WWCS	PA	CANONSBURG		500		40.2894	-80.1853	
540	WYNN	SC	FLORENCE	250	166		34.2181	-79.8083	
540	WKFN	TN	CLARKSVILLE	4000	55		36.5419	-87.3256	
540	KDFT	TX	FERRIS	1000	249		32.5144	-96.5739	
540	KYAH	UT	DELTA	1000	13		39.3367	-112.5558	
540	WGTH	VA	RICHLANDS	1000	97		37.0836	-81.7828	
540	WAUK	WI	JACKSON	400	400		43.3333	-88.1531	
550	KTZN	AK	ANCHORAGE	3100	5000		61.1661	-149.8261	
550	KFYI	AZ	PHOENIX	5000	1000		33.3881	-112.0061	
550	KUZZ	CA	BAKERSFIELD	5000	5000		35.3403	-118.9386	
550	KLLV	CO	BREEN	1800			37.1839	-108.0817	
550	KRAI	CO	CRAIG	5000	500		40.5458	-107.5311	
550	WAYR	FL	FLEMING ISLAND	5000	500		30.0725	-81.7900	
550	WDUN	GA	GAINESVILLE	10000	2500		34.3356	-83.7922	
550	KNUI	HI	WAILUKU	5000	5000		20.8906	-156.4889	
550	KFRM	KS	SALINA	5000	110		39.4344	-97.6603	
550	KTRS	MO	ST. LOUIS	5000	5000		38.6625	-90.1286	
550	KBOW	MT	BUTTE	5000	1000		45.9750	-112.5717	
550	WIOZ	NC	PINEHURST	1000	260		35.1511	-79.4778	
550	WAME	NC	STATESVILLE	500	53		35.7933	-80.8542	
550	KFYR	ND	BISMARCK	5000	5000		46.8533	-100.5436	
550	WGR	NY	BUFFALO	5000	5000		42.7697	-78.8436	
550	WKRC	OH	CINCINNATI	5000	1000		39.0081	-84.4442	
550	KOAC	OR	CORVALLIS	5000	5000		44.6367	-123.1925	
550	WPAB	PR	PONCE	5000	5000		17.9908	-66.6300	
550	WSJW	RI	PAWTUCKET	1000	500		41.9050	-71.3994	
550	KCRS	TX	MIDLAND	5000	1000		32.0694	-102.0294	
550	KTSA	TX	SAN ANTONIO	5000	5000		29.4961	-98.4150	
550	WSVA	VA	HARRISONBURG	5000	1000		38.4511	-78.9081	
550	WDEV	VT	WATERBURY	5000	1000		44.3547	-72.7519	
550	KARI	WA	BLAINE	5000	2500		48.9542	-122.7433	
550	WSAU	WI	WAUSAU	15000	20000		44.8572	-89.5869	
560	WOOF	AL	DOTHAN	5000	118		31.2181	-85.3528	
560	KBLU	AZ	YUMA	1000	1000		32.7233	-114.6428	
560	KSFO	CA	SAN FRANCISCO		5000		37.7456	-122.3778	
560	KSFO	CA	SAN FRANCISCO	5000			37.7456	-122.3778	
560	KLZ	CO	DENVER	5000	5000		39.8433	-104.9539	
560	WQAM	FL	MIAMI	4100	1000		25.8394	-80.1897	
560	WIND	IL	CHICAGO	5000	5000		41.5650	-87.4197	
560	WMIK	KY	MIDDLESBORO	2500			36.6272	-83.7144	
560	WMIK	KY	MIDDLESBORO		88		36.6272	-83.7144	
560	WHYN	MA	SPRINGFIELD	5000	1000		42.1936	-72.6839	
560	WFRB	MD	FROSTBURG	5000	55		39.6834	-78.9653	
560	WGAN	ME	PORTLAND	5000	5000		43.6900	-70.3181	
560	WRDT	MI	MONROE	500	14		42.4536	-83.1639	
560	WEBC	MN	DULUTH	5000	5000		46.6436	-91.9858	
560	KWTO	MO	SPRINGFIELD	5000	4000		36.9444	-93.2214	
560	KMON	MT	GREAT FALLS	5000	5000		47.4247	-111.2889	
